"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 29 11:46:44 GMT 2024","Sun Dec 29 11:46:45 GMT 2024","1617","","FluentControllerApiTests","","FluentControllerApiTests","checkAddUserExtendedTest","Check user added correctly",""
"passed","Sun Dec 29 11:46:43 GMT 2024","Sun Dec 29 11:46:44 GMT 2024","1125","","ControllerApiTests","","ControllerApiTests","checkAddUserTest","Check add user is returns 200 status ok",""
"broken","Sun Dec 29 11:46:46 GMT 2024","Sun Dec 29 11:46:48 GMT 2024","2010","","SimpleJUnitTests","","SimpleJUnitTests","timeoutTest","timeoutTest()",""
"passed","Sun Dec 29 11:46:45 GMT 2024","Sun Dec 29 11:46:46 GMT 2024","1105","","FluentControllerApiTests","","FluentControllerApiTests","checkAddUserTest","Check add user is returns 200 status ok",""
"passed","Sun Dec 29 11:46:38 GMT 2024","Sun Dec 29 11:46:42 GMT 2024","4365","","ControllerApiTests","","ControllerApiTests","checkAddUserExtendedTest","Check user added correctly",""
"passed","Sun Dec 29 11:46:48 GMT 2024","Sun Dec 29 11:46:48 GMT 2024","12","","SimpleJUnitTests","","SimpleJUnitTests","tagTest","tagTest()",""
