"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 29 11:31:32 GMT 2024","Sun Dec 29 11:31:34 GMT 2024","2011","","SimpleJUnitTests","","SimpleJUnitTests","timeoutTest","timeoutTest()",""
"passed","Sun Dec 29 11:31:31 GMT 2024","Sun Dec 29 11:31:32 GMT 2024","282","","FluentControllerApiTests","","FluentControllerApiTests","checkAddUserExtendedTest","Check user added correctly",""
"passed","Sun Dec 29 11:31:28 GMT 2024","Sun Dec 29 11:31:31 GMT 2024","3004","","ControllerApiTests","","ControllerApiTests","checkAddUserExtendedTest","Check user added correctly",""
"passed","Sun Dec 29 11:31:31 GMT 2024","Sun Dec 29 11:31:31 GMT 2024","135","","ControllerApiTests","","ControllerApiTests","checkAddUserTest","Check add user is returns 200 status ok",""
"passed","Sun Dec 29 11:31:32 GMT 2024","Sun Dec 29 11:31:32 GMT 2024","136","","FluentControllerApiTests","","FluentControllerApiTests","checkAddUserTest","Check add user is returns 200 status ok",""
"passed","Sun Dec 29 11:31:34 GMT 2024","Sun Dec 29 11:31:34 GMT 2024","13","","SimpleJUnitTests","","SimpleJUnitTests","tagTest","tagTest()",""
